Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
Japan,1/22/2020,2,0,0,2,0,0,0,Western Pacific
Jordan,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Kazakhstan,1/22/2020,0,0,0,0,0,0,0,Europe
Kenya,1/22/2020,0,0,0,0,0,0,0,Africa
Kosovo,1/22/2020,0,0,0,0,0,0,0,Europe
Kuwait,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Kyrgyzstan,1/22/2020,0,0,0,0,0,0,0,Europe
Laos,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Latvia,1/22/2020,0,0,0,0,0,0,0,Europe
Lebanon,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Lesotho,1/22/2020,0,0,0,0,0,0,0,Africa
Liberia,1/22/2020,0,0,0,0,0,0,0,Africa
Libya,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Liechtenstein,1/22/2020,0,0,0,0,0,0,0,Europe
Lithuania,1/22/2020,0,0,0,0,0,0,0,Europe
Luxembourg,1/22/2020,0,0,0,0,0,0,0,Europe
Madagascar,1/22/2020,0,0,0,0,0,0,0,Africa
Malawi,1/22/2020,0,0,0,0,0,0,0,Africa
Malaysia,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Maldives,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Mali,1/22/2020,0,0,0,0,0,0,0,Africa
Malta,1/22/2020,0,0,0,0,0,0,0,Europe
Mauritania,1/22/2020,0,0,0,0,0,0,0,Africa
Mauritius,1/22/2020,0,0,0,0,0,0,0,Africa
Mexico,1/22/2020,0,0,0,0,0,0,0,Americas
Moldova,1/22/2020,0,0,0,0,0,0,0,Europe
Monaco,1/22/2020,0,0,0,0,0,0,0,Europe
Mongolia,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Montenegro,1/22/2020,0,0,0,0,0,0,0,Europe
Morocco,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Mozambique,1/22/2020,0,0,0,0,0,0,0,Africa
Namibia,1/22/2020,0,0,0,0,0,0,0,Africa
Nepal,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Netherlands,1/22/2020,0,0,0,0,0,0,0,Europe
New Zealand,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Nicaragua,1/22/2020,0,0,0,0,0,0,0,Americas
Niger,1/22/2020,0,0,0,0,0,0,0,Africa
Nigeria,1/22/2020,0,0,0,0,0,0,0,Africa
North Macedonia,1/22/2020,0,0,0,0,0,0,0,Europe
Norway,1/22/2020,0,0,0,0,0,0,0,Europe
Oman,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Pakistan,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Panama,1/22/2020,0,0,0,0,0,0,0,Americas
Papua New Guinea,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Paraguay,1/22/2020,0,0,0,0,0,0,0,Americas
Peru,1/22/2020,0,0,0,0,0,0,0,Americas
Philippines,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Poland,1/22/2020,0,0,0,0,0,0,0,Europe
Portugal,1/22/2020,0,0,0,0,0,0,0,Europe
Qatar,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Romania,1/22/2020,0,0,0,0,0,0,0,Europe
Russia,1/22/2020,0,0,0,0,0,0,0,Europe
Rwanda,1/22/2020,0,0,0,0,0,0,0,Africa
Saint Kitts and Nevis,1/22/2020,0,0,0,0,0,0,0,Americas
Saint Lucia,1/22/2020,0,0,0,0,0,0,0,Americas
Saint Vincent and the Grenadines,1/22/2020,0,0,0,0,0,0,0,Americas
